Ngày giao,Mã giao dịch,Mã thuê bao,Dịch vụ,Người thực hiện,MW001114157,Ngày hoàn công,Nội dung vướng mắc,,,,,
01/07/2026 08:12,VNP-TL/00066703,DI001027268,Internet trực tiếp,Đào Anh Vũ,Đã hoàn công,09/07/2026 07:50,Chuyển SOC/VTT thực hiện,,,,,
01/07/2026 08:13,HCM-TL/02768625,hcmtsl-07-062905,Internet trực tiếp,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:23,Đã báo đơn vị thi công,,,,,
01/07/2026 08:13,HCM-DV/15281866,DI001067541,Internet trực tiếp,Nguyễn Duy Thành,Đã hoàn công,02/07/2026 07:41,,,,,,
01/07/2026 08:14,V06/TD/260630/00438,dia000bo7,Internet trực tiếp,Đoàn Hải Hà,Đã hoàn công,01/07/2026 14:01,Phiếu thoái trả,,,,,
01/07/2026 08:16,VNP-TL/00066702,MW000010923,Megawan LT,Lê Đức Vinh,Đã hoàn công,01/07/2026 10:12,Đã chuyển VTT,,,,,
01/07/2026 08:19,VNP-LD/00074927,mnk0012fd,Metronet LT,Lê Đức Vinh,Đã hoàn công,01/07/2026 15:32,VTT thoái trả không đáp ứng thi công ,,,,,
01/07/2026 08:19,VNP-LD/00074928,mnk0012fp,Metronet LT,Lê Đức Vinh,Đã hoàn công,02/07/2026 13:56,Đã chuyển VTT,,,,,
01/07/2026 08:20,VNP-DV/00013500,MW000388751,Metronet LT,Vũ Thế Ninh,Đã hoàn công,01/07/2026 10:06,SOC 1 thoái trả vì kênh chỉ qua VTT k qua SOC,,,,,
01/07/2026 08:20,VNP-TD/00096280,MW000388755,Metronet LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 10:47,Đã báo đơn vị thi công,,,,,
01/07/2026 08:20,VNP-TD/00096281,MN001042206,Metronet LT,Vũ Thế Ninh,Đã hoàn công,03/07/2026 11:22,Đã báo đơn vị thi công,,,,,
01/07/2026 08:20,VNP-TD/00096282,MN001042199,Metronet LT,Vũ Thế Ninh,Đã hoàn công,02/07/2026 11:09,Đã báo đơn vị thi công,,,,,
01/07/2026 08:21,VNP-DV/00013498,manulife-vpbacninh-bnh,Fiber,Đăng Văn Minh,Đã hoàn công,01/07/2026 12:09,Đã chuyển yêu cầu đến VTT,,,,,
01/07/2026 08:42,51385,,Internet trực tiếp,Lê Đức Vinh,Đã hoàn công,02/07/2026 14:04,Đã chuyển VTT,,,,,
01/07/2026 08:45,VNP-LD/00073326,fbr00efdz,Fiber,Ngô Thị Minh Phương,Đã hoàn công,03/07/2026 09:29,LH với đơn vị để thực hiện kt  0912867766 + 0946561919 hạ tầng kh chưa xong - trả phiếu ,,,,,
